,retweet_count,favorite_count,followers_count,predict_class_label,Date_class
687,216,0,1.43,3,1
688,31,0,6.82,2,0
689,40,0,0.435,1,2
690,809,0,0.435,4,3
691,21,142,6.82,4,0
692,262,690,43,2,0
693,27,0,1.43,4,3
694,3,0,0.435,4,2
695,0,0,0.0364,4,2
696,0,3,1.43,4,0
697,705,1168,43,2,3
698,2037,9264,6.82,2,0
699,0,6,0.136,4,3
700,66,431,6.82,4,1
701,44,0,1.43,3,0
702,0,2,0.0364,4,3
703,0,0,0.136,2,3
704,3,13,1.43,1,1
705,1128,759,43,4,0
706,112,0,0.0364,2,3
707,11,0,1.43,1,1
708,6,0,0.136,3,4
709,186,0,43,2,0
710,42,316,6.82,4,0
711,2,13,0.136,2,4
712,13,93,0.136,3,4
713,695,893,0.435,1,3
714,5,0,0.136,3,4
715,19,0,0.0364,3,3
716,19,60,0.435,4,2
717,45,0,6.82,4,0
718,78,229,0.136,4,3
719,3,0,1.43,3,0
720,1229,0,0.435,1,1
721,746,0,0.0364,2,4
722,4,0,1.43,2,4
723,2,2,0.136,1,0
724,27,0,0.435,2,3
725,8,22,0.136,4,0
726,0,0,1.43,4,3
727,3,12,0.136,2,4
728,4593,54100,43,2,0
729,19,0,0.435,3,2
730,7669,0,43,2,2
731,67,0,0.435,1,3
732,47,130,0.435,3,3
733,4,73,0.136,2,0
734,0,3,0.0364,4,3
735,507,0,0.435,4,3
736,0,1,1.43,4,3
737,65,0,0.435,4,1
738,16272,25607,43,2,0
739,21,0,6.82,4,3
740,841,0,43,2,0
741,525,965,43,2,4
742,5,30,1.43,2,0
743,10,0,0.435,4,2
744,87,0,0.435,4,0
745,10,0,0.435,3,3
746,36,0,6.82,4,0
747,1536,0,0.435,2,2
748,0,2,0.0364,4,3
749,0,0,0.0364,4,0
750,492,3289,43,4,4
751,20,0,0.136,4,3
752,19,21,0.136,2,3
753,13,29,0.136,4,4
754,1000,0,0.0364,4,4
755,42,152,1.43,3,2
756,598,3516,6.82,2,3
757,1138,0,0.435,2,1
758,0,6,1.43,3,0
759,3,18,6.82,3,3
760,6,0,0.0364,4,4
761,14,0,0.435,4,2
762,1178,1594,43,2,4
763,0,0,0.0364,4,0
764,147,0,0.435,4,3
765,3,0,1.43,4,3
766,72,0,6.82,4,1
767,190,0,0.435,1,0
768,126,0,1.43,2,0
769,0,3,0.0364,2,4
770,0,2,0.0364,4,4
771,3,0,0.136,3,4
772,4,24,0.0364,4,4
773,51,0,0.435,3,3
774,0,1,0.136,2,3
775,98,0,0.435,1,2
776,0,17,0.0364,2,4
777,10,39,0.136,4,4
778,23,0,0.435,4,3
779,181,0,0.435,3,2
780,1096,5344,6.82,4,0
781,79,0,6.82,4,0
782,19,0,6.82,4,1
783,205,608,43,2,0
784,146,0,0.435,2,3
785,15,0,0.435,3,3
786,210,0,0.435,1,1
787,1,0,0.0364,4,4
788,262,0,0.435,4,1
789,5,0,1.43,3,1
790,1337,0,0.435,2,0
791,243,206,43,4,0
792,50,406,6.82,4,2
793,63,461,6.82,3,3
794,41,331,6.82,2,4
795,6,20,0.136,4,4
796,0,0,0.136,4,4
797,13,25,0.136,2,0
798,2,0,0.435,2,2
799,172,0,0.435,4,0
800,1310,0,43,2,2
801,69,0,6.82,1,0
802,1404,0,1.43,1,0
803,31,0,6.82,2,3
804,3,7,0.136,4,4
805,8,0,0.0364,2,0
806,155,0,0.435,2,3
807,7886,38299,43,2,1
808,55,0,0.0364,3,0
809,174,408,43,3,2
810,1,9,1.43,4,2
811,4,23,0.136,2,3
812,5365,35729,43,2,0
813,15555,26502,43,4,4
814,19,0,0.0364,2,0
815,75,218,43,2,0
816,4440,0,1.43,1,3
817,23,83,0.136,3,3
818,28,91,1.43,4,3
819,1,33,0.0364,2,0
820,19495,117842,43,2,1
821,531,771,43,2,3
822,456,1018,43,2,0
823,3,12,0.0364,4,4
824,31,86,1.43,4,2
825,523,0,43,2,0
826,13,38,1.43,4,2
827,7,113,0.435,4,1
828,0,0,1.43,1,0
829,19,96,1.43,4,0
830,23,0,6.82,4,2
831,17507,0,0.0364,1,0
832,3,0,1.43,1,1
833,31,52,0.136,4,0
834,783,1614,43,3,3
835,1,5,0.136,4,4
836,32693,288456,43,3,3
837,0,2,0.136,4,0
838,4,0,1.43,4,1
839,462,784,43,3,0
840,18,0,0.136,2,4
841,1,0,0.0364,3,3
842,4,0,0.136,2,4
843,1144,583,43,2,2
844,106,469,43,2,4
845,0,0,0.0364,2,4
846,2,0,0.435,3,1
847,25,68,1.43,4,0
848,7,0,0.0364,1,4
849,5,7,0.136,3,4
850,22,0,1.43,4,2
851,359,799,0.435,4,3
852,5,0,0.435,1,1
853,17,0,0.435,4,0
854,0,6,0.0364,4,4
855,0,2,1.43,2,1
856,2078,5056,43,2,0
857,1029,6936,6.82,2,1
858,2,14,0.136,3,3
859,4,0,0.0364,4,3
860,25,147,0.136,3,0
861,96,0,0.0364,2,0
862,1079,1665,43,3,0
863,812,0,0.435,3,3
864,0,2,0.0364,3,0
865,0,1,0.0364,4,0
866,41,0,0.435,3,2
867,6550,5991,43,2,4
868,2,2,0.136,4,3
869,27,94,6.82,4,0
870,32,0,6.82,2,1
871,46,0,0.435,4,3
872,134,0,0.435,4,0
873,0,1,0.0364,2,2
874,0,0,1.43,4,2
875,50,279,0.136,4,0
876,53,0,1.43,4,3
877,0,1,0.136,4,0
878,58,0,0.435,1,3
879,104,0,6.82,4,3
880,9,0,0.136,3,0
881,11,35,0.136,3,3
882,2,0,0.0364,4,3
883,239,0,0.435,4,3
884,2143,0,0.0364,4,3
885,29,169,6.82,2,3
886,0,2,0.136,4,0
887,811,940,43,2,2
888,15,47,0.0364,2,3
889,0,12,0.136,4,0
890,220,0,0.435,1,3
891,119,0,1.43,4,1
892,23,66,0.136,1,4
893,11,13,0.136,2,4
894,36,121,1.43,2,0
895,87,0,0.435,4,2
896,5,20,6.82,4,0
897,21,0,0.0364,4,4
898,4,20,0.136,3,3
899,137,391,0.136,2,3
900,8,0,1.43,2,3
901,1,0,0.0364,4,3
902,64,564,6.82,4,2
903,74,0,0.136,4,0
904,3,0,1.43,1,3
905,6,28,0.136,2,4
906,0,1,0.0364,4,3
907,22,0,0.435,4,2
908,3608,9854,43,1,3
909,154,697,6.82,4,2
910,868,11777,43,2,3
911,2061,8650,43,2,0
912,0,1,0.0364,2,3
913,357,2504,43,2,2
914,0,0,0.0364,4,4
915,0,3,0.136,4,3
916,0,3,0.435,4,2
917,19,0,6.82,4,1
918,41,0,6.82,2,0
919,0,1,0.0364,4,3
